               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077853,             0.02414,            0.013283,             0.47933,             0.51446,             0.45835,             0.19213,            0.036722,           0.0093248,           0.0013376,            0.070207,           0.0033103,           0.0033103
                   1,            0.053367,             0.01803,           0.0014264,             0.39007,             0.56198,             0.41595,             0.16539,            0.040527,           0.0062413,           0.0008328,            0.040075,           0.0065121,           0.0065121
                   2,            0.048428,            0.016075,           0.0013812,              0.7583,             0.73249,              0.7698,              0.3476,             0.03002,           0.0067489,          0.00096629,           0.0098118,           0.0095819,           0.0095819
                   3,            0.045654,            0.015608,           0.0011854,             0.73392,              0.7314,             0.76627,             0.37902,            0.027636,           0.0063133,          0.00070602,            0.009406,            0.009406,            0.009406
                   4,            0.040978,            0.015162,           0.0009674,             0.78877,             0.77066,             0.81317,             0.45993,            0.024581,           0.0067713,          0.00057384,            0.009406,            0.009406,            0.009406
                   5,            0.038539,            0.014898,           0.0007229,             0.68496,             0.75469,             0.78912,             0.42076,            0.025578,           0.0065377,          0.00041485,            0.009208,            0.009208,            0.009208
                   6,            0.035587,            0.014424,          0.00061205,             0.83371,             0.75617,             0.86395,             0.48494,            0.024348,           0.0056157,          0.00042761,             0.00901,             0.00901,             0.00901
                   7,            0.035932,            0.014218,          0.00062342,             0.82857,             0.82645,             0.87294,             0.50718,            0.021695,           0.0058472,           0.0004333,            0.008812,            0.008812,            0.008812
                   8,            0.033478,            0.013642,           0.0005199,             0.84707,             0.88843,             0.89493,             0.54089,            0.021106,           0.0052777,          0.00030612,            0.008614,            0.008614,            0.008614
                   9,            0.032437,            0.013619,          0.00046491,             0.88615,             0.90053,             0.92141,             0.57101,             0.02065,           0.0053265,          0.00034289,            0.008416,            0.008416,            0.008416
                  10,            0.031268,            0.013056,          0.00042555,             0.90476,             0.86358,             0.92225,             0.58806,            0.020377,           0.0052344,          0.00029808,            0.008218,            0.008218,            0.008218
                  11,            0.030463,            0.013047,          0.00039905,             0.91185,             0.81219,             0.91716,             0.60819,            0.019267,           0.0050607,          0.00024867,             0.00802,             0.00802,             0.00802
                  12,            0.030228,             0.01308,          0.00038075,             0.86291,             0.79334,             0.88042,             0.55184,             0.01933,           0.0054302,          0.00023469,            0.007822,            0.007822,            0.007822
                  13,            0.031124,            0.012715,           0.0004029,             0.89436,             0.87397,             0.93585,             0.61983,            0.018544,           0.0049193,          0.00022507,            0.007624,            0.007624,            0.007624
                  14,            0.029706,            0.012593,          0.00036734,              0.8938,             0.87397,             0.92736,             0.62444,            0.017957,           0.0051445,          0.00019456,            0.007426,            0.007426,            0.007426
                  15,            0.029229,            0.012408,           0.0003046,             0.91452,             0.88418,             0.92705,             0.62024,            0.018883,           0.0049371,           0.0001848,            0.007228,            0.007228,            0.007228
                  16,            0.028607,            0.012283,          0.00031928,             0.89105,             0.87397,             0.93104,             0.62841,            0.017514,           0.0051057,          0.00018007,             0.00703,             0.00703,             0.00703
                  17,            0.027461,            0.012262,          0.00029744,             0.89141,             0.89896,             0.93243,             0.64594,             0.01796,           0.0048516,          0.00017367,            0.006832,            0.006832,            0.006832
                  18,            0.028237,            0.012086,          0.00031337,             0.87787,             0.86139,             0.93072,             0.63468,            0.016831,           0.0048074,           0.0001754,            0.006634,            0.006634,            0.006634
                  19,            0.027207,            0.011829,          0.00028099,             0.90901,             0.90702,             0.94361,             0.64505,            0.016621,           0.0048114,          0.00016369,            0.006436,            0.006436,            0.006436
                  20,            0.026513,            0.011976,           0.0002588,             0.91304,             0.93284,             0.95917,             0.67685,            0.016659,           0.0046319,          0.00015267,            0.006238,            0.006238,            0.006238
                  21,            0.025955,            0.011465,          0.00024037,             0.93622,             0.90987,             0.95531,             0.68455,            0.015622,           0.0045809,          0.00013231,             0.00604,             0.00604,             0.00604
                  22,            0.024962,            0.011408,          0.00020807,             0.94856,             0.87626,             0.95087,             0.67812,            0.016291,            0.004647,          0.00013705,            0.005842,            0.005842,            0.005842
                  23,            0.025881,             0.01152,          0.00025256,             0.92659,             0.89256,             0.94882,             0.68291,            0.015307,           0.0045092,          0.00013979,            0.005644,            0.005644,            0.005644
                  24,            0.025259,             0.01153,          0.00021014,             0.94199,             0.90587,             0.95154,             0.69223,            0.014927,           0.0046328,          0.00011265,            0.005446,            0.005446,            0.005446
                  25,            0.025356,            0.010988,          0.00023007,             0.90831,             0.91942,             0.93999,             0.71081,              0.0147,           0.0045369,          0.00010627,            0.005248,            0.005248,            0.005248
                  26,            0.024215,            0.010986,          0.00019067,             0.94291,              0.8905,             0.95616,              0.7059,            0.014283,           0.0044086,          0.00010302,             0.00505,             0.00505,             0.00505
                  27,            0.023662,             0.01087,          0.00016736,             0.93231,             0.90702,             0.95933,             0.70232,            0.015291,           0.0043413,          9.5465e-05,            0.004852,            0.004852,            0.004852
                  28,            0.024328,            0.010838,           0.0001761,             0.93722,             0.92538,             0.94856,             0.71178,            0.014877,           0.0044681,          9.5166e-05,            0.004654,            0.004654,            0.004654
                  29,              0.0234,            0.010832,          0.00016436,             0.94728,             0.92817,             0.96336,             0.70723,             0.01456,           0.0042618,          9.3745e-05,            0.004456,            0.004456,            0.004456
                  30,            0.022499,            0.010599,          0.00014628,             0.95912,             0.92102,             0.96055,             0.72453,             0.01436,           0.0041318,          8.9803e-05,            0.004258,            0.004258,            0.004258
                  31,            0.022995,            0.010535,          0.00016993,             0.95899,             0.91942,             0.95802,             0.70385,            0.014526,           0.0044205,          8.6615e-05,             0.00406,             0.00406,             0.00406
                  32,            0.022505,            0.010509,          0.00015031,             0.94947,             0.92355,             0.96099,             0.73045,            0.014018,           0.0041186,          7.9273e-05,            0.003862,            0.003862,            0.003862
                  33,            0.021884,            0.010247,          0.00014472,             0.96953,             0.89876,             0.96504,             0.70976,             0.01446,           0.0043069,          7.0425e-05,            0.003664,            0.003664,            0.003664
                  34,            0.021461,            0.010112,          0.00014048,             0.96167,             0.92769,             0.96538,             0.72535,             0.01422,           0.0041322,          7.1684e-05,            0.003466,            0.003466,            0.003466
                  35,            0.021631,            0.010443,          0.00014267,             0.94722,             0.92708,             0.96271,             0.73052,            0.014085,           0.0042079,          6.3976e-05,            0.003268,            0.003268,            0.003268
                  36,            0.020974,           0.0099999,          0.00012193,              0.9656,             0.92149,               0.963,             0.73113,            0.014364,           0.0043988,           5.588e-05,             0.00307,             0.00307,             0.00307
                  37,            0.021138,           0.0099993,           0.0001178,             0.94306,             0.92769,             0.95966,              0.7399,            0.013429,           0.0042719,          5.4883e-05,            0.002872,            0.002872,            0.002872
                  38,            0.020849,           0.0099287,           0.0001047,             0.95721,             0.92434,             0.96543,             0.73889,            0.013727,           0.0042558,          4.8627e-05,            0.002674,            0.002674,            0.002674
                  39,            0.021275,           0.0099033,          0.00010304,             0.95116,             0.92547,             0.96454,              0.7383,            0.013322,           0.0042298,           4.732e-05,            0.002476,            0.002476,            0.002476
                  40,            0.020139,           0.0097481,          9.6021e-05,             0.95656,                0.91,             0.95987,             0.72809,             0.01389,           0.0041785,          4.0233e-05,            0.002278,            0.002278,            0.002278
                  41,            0.020123,           0.0098724,          9.7511e-05,             0.97466,             0.93595,             0.97013,             0.74119,            0.013298,           0.0042679,          3.8103e-05,             0.00208,             0.00208,             0.00208
                  42,            0.019675,            0.009662,          9.3298e-05,             0.96072,             0.92562,             0.96411,              0.7398,            0.013557,           0.0041677,           3.554e-05,            0.001882,            0.001882,            0.001882
                  43,            0.019739,           0.0095037,          9.1438e-05,             0.95306,             0.92149,              0.9597,             0.74165,            0.013572,           0.0041526,          3.3862e-05,            0.001684,            0.001684,            0.001684
                  44,            0.018846,           0.0094855,          8.6239e-05,             0.96128,             0.92328,             0.96557,             0.74788,            0.013147,           0.0042199,          3.0527e-05,            0.001486,            0.001486,            0.001486
                  45,            0.018762,           0.0095235,          8.0296e-05,             0.96255,             0.92149,             0.96213,             0.74606,            0.013062,           0.0041023,          2.9506e-05,            0.001288,            0.001288,            0.001288
                  46,            0.019353,           0.0094119,          7.6664e-05,             0.93999,             0.93846,             0.96441,             0.75011,            0.012865,           0.0040301,          2.6825e-05,             0.00109,             0.00109,             0.00109
                  47,            0.018596,           0.0093992,           7.232e-05,             0.94522,             0.92684,             0.96497,             0.75477,            0.012797,           0.0040598,           2.481e-05,            0.000892,            0.000892,            0.000892
                  48,            0.018899,           0.0094458,          7.0061e-05,             0.95529,              0.9271,             0.96601,             0.75729,            0.012772,           0.0040749,          2.3658e-05,            0.000694,            0.000694,            0.000694
                  49,            0.017858,           0.0091181,          7.0886e-05,             0.94967,             0.93558,             0.96706,             0.75999,            0.012816,           0.0040652,          2.3818e-05,            0.000496,            0.000496,            0.000496
